id,fossil_bio,ipcc_code_2006_for_standard_report_name,Year,Total
76210,fossil,"Biological Treatment of Solid Waste",2020,0.3984681840000001
81823,fossil,"Biological Treatment of Solid Waste",2020,0.47516978400000015
84842,fossil,"Biological Treatment of Solid Waste",2020,105.27216880800002
83788,fossil,"Biological Treatment of Solid Waste",2020,0.000056833800000000005
69059,fossil,"Biological Treatment of Solid Waste",2020,0.01631526
75628,fossil,"Biological Treatment of Solid Waste",2020,0.4921989119999999
66317,fossil,"Biological Treatment of Solid Waste",2020,0.3548562
60664,fossil,"Biological Treatment of Solid Waste",2020,1.3644614759999998
60112,fossil,"Biological Treatment of Solid Waste",2020,8.930608727999997
73055,fossil,"Biological Treatment of Solid Waste",2020,0.37597978800000015
75110,fossil,"Biological Treatment of Solid Waste",2020,0.7747297559999997
65076,fossil,"Biological Treatment of Solid Waste",2020,2.2235689079999994
61519,fossil,"Biological Treatment of Solid Waste",2020,1.024162092
68496,fossil,"Biological Treatment of Solid Waste",2020,0.4680329759999999
23122,fossil,"Biological Treatment of Solid Waste",2020,6.038802659999998
6228,fossil,"Biological Treatment of Solid Waste",2020,2.728650384
14576,fossil,"Biological Treatment of Solid Waste",2020,2.2816543919999996
21100,fossil,"Biological Treatment of Solid Waste",2020,3.306206880000001
4752,fossil,"Biological Treatment of Solid Waste",2020,5.353959948
4137,fossil,"Biological Treatment of Solid Waste",2020,24.555201719999996
20515,fossil,"Biological Treatment of Solid Waste",2020,0.15496044000000006
8008,fossil,"Biological Treatment of Solid Waste",2020,0.145931736
21735,fossil,"Biological Treatment of Solid Waste",2020,37.067120796000005
14025,fossil,"Biological Treatment of Solid Waste",2020,10.420667891999999
26051,fossil,"Biological Treatment of Solid Waste",2020,14.025338868
41367,fossil,"Biological Treatment of Solid Waste",2020,11.322035112000002
49340,fossil,"Biological Treatment of Solid Waste",2020,0.549443796
49767,fossil,"Biological Treatment of Solid Waste",2020,0.11349444000000003
50241,fossil,"Biological Treatment of Solid Waste",2020,1.274913156
42744,fossil,"Biological Treatment of Solid Waste",2020,0.344974176
26563,fossil,"Biological Treatment of Solid Waste",2020,0.60305328
40395,fossil,"Biological Treatment of Solid Waste",2020,0.11102758800000002
27568,fossil,"Biological Treatment of Solid Waste",2020,0.9061818599999998
37555,fossil,"Biological Treatment of Solid Waste",2020,0.5786433960000001
39226,fossil,"Biological Treatment of Solid Waste",2020,0.6252784559999999
28991,fossil,"Biological Treatment of Solid Waste",2020,19.173236556
33730,fossil,"Biological Treatment of Solid Waste",2020,1.0145522640000002
36683,fossil,"Biological Treatment of Solid Waste",2020,0.20092296000000007
30085,fossil,"Biological Treatment of Solid Waste",2020,17.424391271999998
40770,fossil,"Chemical Industry",2020,0.066000001
27565,fossil,"Chemical Industry",2020,0.438875059
49348,fossil,"Chemical Industry",2020,0.14046356399999999
33162,fossil,"Chemical Industry",2020,2.8405000050000004
47513,fossil,"Chemical Industry",2020,0.11549999899999999
33731,fossil,"Chemical Industry",2020,0.007305165000000001
36680,fossil,"Chemical Industry",2020,0.058492525000000004
43222,fossil,"Chemical Industry",2020,0.041328618
29009,fossil,"Chemical Industry",2020,1.091518687
38720,fossil,"Chemical Industry",2020,3.1910630519999996
39665,fossil,"Chemical Industry",2020,17.183892003
38116,fossil,"Chemical Industry",2020,1.3900873360000001
45767,fossil,"Chemical Industry",2020,5.050033924
37554,fossil,"Chemical Industry",2020,0.202939608
46055,fossil,"Chemical Industry",2020,0.517319427
30092,fossil,"Chemical Industry",2020,1.8308453720000002
42732,fossil,"Chemical Industry",2020,4.067780429
41362,fossil,"Chemical Industry",2020,0.862174936
26056,fossil,"Chemical Industry",2020,0.725271769
70297,fossil,"Chemical Industry",2020,0.08252757200000002
69839,fossil,"Chemical Industry",2020,26.135975900000002
67500,fossil,"Chemical Industry",2020,2.835329441
66315,fossil,"Chemical Industry",2020,0.067817706
61866,fossil,"Chemical Industry",2020,18.671630019
75620,fossil,"Chemical Industry",2020,0.223946563
59123,fossil,"Chemical Industry",2020,0.106728374
52708,fossil,"Chemical Industry",2020,1.6698310119999997
53156,fossil,"Chemical Industry",2020,0.001640072
69050,fossil,"Chemical Industry",2020,12.626496859999998
65085,fossil,"Chemical Industry",2020,0.234037901
75118,fossil,"Chemical Industry",2020,0.08838609800000002
57488,fossil,"Chemical Industry",2020,5.843096548
65765,fossil,"Chemical Industry",2020,0.019800000999999998
63189,fossil,"Chemical Industry",2020,0.0003
68493,fossil,"Chemical Industry",2020,1.3913509290000001
54420,fossil,"Chemical Industry",2020,0.294241136
76202,fossil,"Chemical Industry",2020,0.3783266720000001
60117,fossil,"Chemical Industry",2020,2.5459878479999998
63721,fossil,"Chemical Industry",2020,0.0010731240999999998
60661,fossil,"Chemical Industry",2020,2.9763375130000003
61511,fossil,"Chemical Industry",2020,3.5977488800000006
71574,fossil,"Chemical Industry",2020,2.414215642
80937,fossil,"Chemical Industry",2020,11.196567824
88666,fossil,"Chemical Industry",2020,0.5695010079999999
85278,fossil,"Chemical Industry",2020,0.045051492
83778,fossil,"Chemical Industry",2020,0.504771944
86165,fossil,"Chemical Industry",2020,3.139380842
82353,fossil,"Chemical Industry",2020,4.920518438
79700,fossil,"Chemical Industry",2020,0.00008160001
84833,fossil,"Chemical Industry",2020,33.352784940999996
81816,fossil,"Chemical Industry",2020,0.48676265799999996
79071,fossil,"Chemical Industry",2020,2.071445136
14019,fossil,"Chemical Industry",2020,4.991963810000001
4738,fossil,"Chemical Industry",2020,0.156962108
2374,fossil,"Chemical Industry",2020,0.6292468480000001
7990,fossil,"Chemical Industry",2020,0.23041937799999998
8320,fossil,"Chemical Industry",2020,0.9766678590000001
14571,fossil,"Chemical Industry",2020,0.09994509999999998
24892,fossil,"Chemical Industry",2020,0.543820045
9141,fossil,"Chemical Industry",2020,0.0009320710999999998
18080,fossil,"Chemical Industry",2020,0.062252386
21106,fossil,"Chemical Industry",2020,0.10899479100000001
23138,fossil,"Chemical Industry",2020,0.00001417769
6240,fossil,"Chemical Industry",2020,1.4683869649999999
24012,fossil,"Chemical Industry",2020,0.27256066
2900,fossil,"Chemical Industry",2020,1.292632988
21743,fossil,"Chemical Industry",2020,6.288406904000001
9649,fossil,"Chemical Industry",2020,0.21762594600000001
4123,fossil,"Chemical Industry",2020,0.320412748
15639,fossil,"Chemical Industry",2020,144.78149638
11388,fossil,"Chemical Industry",2020,2.2851736519999997
15078,fossil,"Chemical Industry",2020,1.325177606
5668,fossil,"Civil Aviation",2020,0.000021709919999999998
15077,fossil,"Civil Aviation",2020,0.006435984000000002
9640,fossil,"Civil Aviation",2020,0.0002777436
19367,fossil,"Civil Aviation",2020,0.000041189879999999995
16059,fossil,"Civil Aviation",2020,0.00011246543999999999
5220,fossil,"Civil Aviation",2020,0.005578056000000001
341,fossil,"Civil Aviation",2020,0.000021897600000000002
11371,fossil,"Civil Aviation",2020,0.035526516
7998,fossil,"Civil Aviation",2020,0.00010758636000000002
2888,fossil,"Civil Aviation",2020,0.006310620000000002
4140,fossil,"Civil Aviation",2020,0.03325558800000001
22599,fossil,"Civil Aviation",2020,0.000003245171999999999
17180,fossil,"Civil Aviation",2020,0.00018648480000000003
15651,fossil,"Civil Aviation",2020,0.46261558799999986
10103,fossil,"Civil Aviation",2020,0.000010493532
18947,fossil,"Civil Aviation",2020,0.00002827908
22172,fossil,"Civil Aviation",2020,0.00001854756
16470,fossil,"Civil Aviation",2020,0.00011786436000000003
12665,fossil,"Civil Aviation",2020,0.00007211796
4749,fossil,"Civil Aviation",2020,0.000292764
18521,fossil,"Civil Aviation",2020,0.000009659556000000003
821,fossil,"Civil Aviation",2020,0.00039452280000000007
16826,fossil,"Civil Aviation",2020,0.00000017847480000000003
8322,fossil,"Civil Aviation",2020,0.00039858839999999993
21747,fossil,"Civil Aviation",2020,0.00695082
23135,fossil,"Civil Aviation",2020,0.00029744280000000003
10794,fossil,"Civil Aviation",2020,0.0010731336000000002
7004,fossil,"Civil Aviation",2020,0.00013415880000000003
23587,fossil,"Civil Aviation",2020,0.0004948212000000001
1231,fossil,"Civil Aviation",2020,0.00006875340000000001
3555,fossil,"Civil Aviation",2020,0.000013346640000000003
24014,fossil,"Civil Aviation",2020,0.0012935399999999995
17517,fossil,"Civil Aviation",2020,0.000012290040000000004
8747,fossil,"Civil Aviation",2020,0.00006949500000000001
24449,fossil,"Civil Aviation",2020,0.0009781439999999998
1451,fossil,"Civil Aviation",2020,2.3715847800000005
10396,fossil,"Civil Aviation",2020,0.000014054760000000002
21104,fossil,"Civil Aviation",2020,0.0004477476
24896,fossil,"Civil Aviation",2020,0.009000276
20523,fossil,"Civil Aviation",2020,0.00002006448
25202,fossil,"Civil Aviation",2020,0.00003586092
14021,fossil,"Civil Aviation",2020,0.07151043599999998
13016,fossil,"Civil Aviation",2020,0.00022045799999999998
14569,fossil,"Civil Aviation",2020,0.0007055400000000002
20136,fossil,"Civil Aviation",2020,0.000014789400000000003
13459,fossil,"Civil Aviation",2020,0.000008521116000000001
6231,fossil,"Civil Aviation",2020,0.000023461800000000003
18077,fossil,"Civil Aviation",2020,0.00025079519999999996
2377,fossil,"Civil Aviation",2020,0.004551888
11847,fossil,"Civil Aviation",2020,0.000029119080000000006
74249,fossil,"Civil Aviation",2020,0.000005079696
50648,fossil,"Civil Aviation",2020,0.00023253960000000005
75618,fossil,"Civil Aviation",2020,0.000004753224
65083,fossil,"Civil Aviation",2020,0.0003200904
70756,fossil,"Civil Aviation",2020,0.0005240856
50996,fossil,"Civil Aviation",2020,0.0004420188
54852,fossil,"Civil Aviation",2020,0.00004070172
