id,Name,fossil_bio,ipcc_code_2006_for_standard_report_name,Year,Total
84247,"United States",fossil,"Biological Treatment of Solid Waste",2000,59.69376
83237,Ukraine,fossil,"Biological Treatment of Solid Waste",2000,0.0009724403999999998
81334,Turkey,fossil,"Biological Treatment of Solid Waste",2000,0.3916503359999999
53630,Malta,fossil,"Biological Treatment of Solid Waste",2000,0.062040000000000005
74629,Slovakia,fossil,"Biological Treatment of Solid Waste",2000,0.058160003999999994
68548,"Russian Federation",fossil,"Biological Treatment of Solid Waste",2000,0.774
67932,Romania,fossil,"Biological Treatment of Solid Waste",2000,1.257339696
65810,Portugal,fossil,"Biological Treatment of Solid Waste",2000,0.21989975999999997
75152,Slovenia,fossil,"Biological Treatment of Solid Waste",2000,0.12616905600000003
61030,"New Zealand",fossil,"Biological Treatment of Solid Waste",2000,0.11574039599999998
75671,Sweden,fossil,"Biological Treatment of Solid Waste",2000,0.4059999960000001
60168,Norway,fossil,"Biological Treatment of Solid Waste",2000,0.9864279480000001
72722,"El Salvador",fossil,"Biological Treatment of Solid Waste",2000,0.12616905600000003
59579,Netherlands,fossil,"Biological Treatment of Solid Waste",2000,15.570924000000003
64528,Poland,fossil,"Biological Treatment of Solid Waste",2000,0.59592
13505,Canada,fossil,"Biological Treatment of Solid Waste",2000,4.085232
4187,Austria,fossil,"Biological Treatment of Solid Waste",2000,2.75300472
3596,Australia,fossil,"Biological Treatment of Solid Waste",2000,8.952593352
20169,Cyprus,fossil,"Biological Treatment of Solid Waste",2000,0.03156
21168,Germany,fossil,"Biological Treatment of Solid Waste",2000,36.118400004
5697,Belgium,fossil,"Biological Treatment of Solid Waste",2000,4.377732
22642,Denmark,fossil,"Biological Treatment of Solid Waste",2000,3.853119995999999
14062,Switzerland,fossil,"Biological Treatment of Solid Waste",2000,2.7971999999999997
20554,"Czech Republic",fossil,"Biological Treatment of Solid Waste",2000,0.19503976799999997
7497,Bulgaria,fossil,"Biological Treatment of Solid Waste",2000,0.133897596
25455,Spain,fossil,"Biological Treatment of Solid Waste",2000,7.679542727999999
26095,Estonia,fossil,"Biological Treatment of Solid Waste",2000,0.076040004
33203,Greece,fossil,"Biological Treatment of Solid Waste",2000,0.008847995999999999
36238,Croatia,fossil,"Biological Treatment of Solid Waste",2000,0.060920004
29570,"United Kingdom",fossil,"Biological Treatment of Solid Waste",2000,3.963259056
37065,Hungary,fossil,"Biological Treatment of Solid Waste",2000,0.027200004
40032,Iceland,fossil,"Biological Treatment of Solid Waste",2000,0.008000004
28444,France,fossil,"Biological Treatment of Solid Waste",2000,9.915421451999999
38778,Ireland,fossil,"Biological Treatment of Solid Waste",2000,0.088932
42187,Japan,fossil,"Biological Treatment of Solid Waste",2000,0.1158609
26992,Finland,fossil,"Biological Treatment of Solid Waste",2000,0.7207620359999999
40823,Italy,fossil,"Biological Treatment of Solid Waste",2000,4.534895040000001
49805,Latvia,fossil,"Biological Treatment of Solid Waste",2000,0.628559256
49387,Luxembourg,fossil,"Biological Treatment of Solid Waste",2000,0.072753924
48847,Lithuania,fossil,"Biological Treatment of Solid Waste",2000,0.031941192
42181,Japan,fossil,"Chemical Industry",2000,5.107814365
40427,Israel,fossil,"Chemical Industry",2000,0.05609999900000001
45237,"Korea, Republic of",fossil,"Chemical Industry",2000,3.143108455
29574,"United Kingdom",fossil,"Chemical Industry",2000,1.918636486
38152,India,fossil,"Chemical Industry",2000,1.665682246
47196,"Libyan Arab Jamahiriya",fossil,"Chemical Industry",2000,1.395900001
52741,"Macedonia, the former Yugoslav Republic of",fossil,"Chemical Industry",2000,0.002043429
28448,France,fossil,"Chemical Industry",2000,1.4386823240000002
39701,Iraq,fossil,"Chemical Industry",2000,0.00858
38765,Ireland,fossil,"Chemical Industry",2000,0.000001728
52253,Mexico,fossil,"Chemical Industry",2000,1.74787148
42783,Kazakhstan,fossil,"Chemical Industry",2000,0.023318999
40818,Italy,fossil,"Chemical Industry",2000,0.360570724
36223,Croatia,fossil,"Chemical Industry",2000,0.05300305899999999
33207,Greece,fossil,"Chemical Industry",2000,0.004290001
45801,Kuwait,fossil,"Chemical Industry",2000,0.19469999999999998
39260,"Iran, Islamic Republic of",fossil,"Chemical Industry",2000,1.558792837
37616,Indonesia,fossil,"Chemical Industry",2000,1.636911623
